,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
0,Karnataka,1,5,1,1,0.46585044264793396,0.4809195102056081,-11.348774318628704
1,Karnataka,1,5,1,8,0.32935383915901184,0.33524273954618367,-5.000644141781347
2,Karnataka,1,5,1,16,0.2792578339576721,0.283907704451955,-3.303615172027354
3,Karnataka,1,5,1,32,0.10916516929864883,0.11160362187008635,0.33497855431661916
4,Karnataka,1,7,1,1,0.7183716297149658,0.7260731515575126,-43.29142351406288
5,Karnataka,1,7,1,8,0.41436848044395447,0.41801896194747623,-13.680837354244114
6,Karnataka,1,7,1,16,0.03023514896631241,0.03592857102199953,0.8915476935610775
7,Karnataka,1,7,1,32,0.03617240488529205,0.041974235733937326,0.8519786118932493
8,Karnataka,2,5,1,1,0.6958389282226562,0.708865531439751,-25.829145721792074
9,Karnataka,2,5,1,8,0.312876433134079,0.3144733232917911,-4.280155142496372
10,Karnataka,2,5,1,16,0.05392082408070564,0.06660804521216257,0.7631177633711126
11,Karnataka,2,5,1,32,0.10169818997383118,0.11222976175455779,0.32749554401716585
12,Karnataka,2,7,1,1,0.10254644602537155,0.11269102402432865,-0.06693407687243602
13,Karnataka,2,7,1,8,0.10691025853157043,0.1228039136644167,-0.2670195627693741
14,Karnataka,2,7,1,16,0.06776407361030579,0.07628107496422795,0.5111309562125611
15,Karnataka,2,7,1,32,0.08399184793233871,0.10232143468213045,0.12038596911543187
16,Karnataka,3,5,1,1,0.18168504536151886,0.18400193553792837,-0.807689592157002
17,Karnataka,3,5,1,8,0.35207971930503845,0.3556122961607773,-5.752003094008565
18,Karnataka,3,5,1,16,0.36646491289138794,0.36976074931244585,-6.299963916313825
19,Karnataka,3,5,1,32,0.32486194372177124,0.3275612347626993,-4.728805812661334
20,Karnataka,3,7,1,1,0.6327457427978516,0.6426167114174426,-33.69468434621111
21,Karnataka,3,7,1,8,0.18315736949443817,0.1837175236112901,-1.8356983850868067
22,Karnataka,3,7,1,16,0.2948187589645386,0.29529081093396947,-6.325861967994186
23,Karnataka,3,7,1,32,0.272539883852005,0.2726857204960621,-5.2471752178748
24,Karnataka,4,5,1,1,0.6808145642280579,0.6942525564097893,-24.73440051638309
25,Karnataka,4,5,1,8,0.23390671610832214,0.24779138398131628,-2.278320853327033
26,Karnataka,4,5,1,16,0.2574687600135803,0.26814335620174484,-2.838956104101468
27,Karnataka,4,5,1,32,0.1483902633190155,0.16695585469079263,-0.4882722960970558
28,Karnataka,4,7,1,1,0.7010886669158936,0.7090802929101316,-41.24251475536289
29,Karnataka,4,7,1,8,0.1986479014158249,0.20825980597623547,-2.6439280741359026
30,Karnataka,4,7,1,16,0.08321236073970795,0.09725817130916847,0.2052856156143137
31,Karnataka,4,7,1,32,0.14743539690971375,0.1586418778817035,-1.1144360721683797
32,Karnataka,5,5,1,1,0.7497647404670715,0.7665729881841203,-30.375170089775832
33,Karnataka,5,5,1,8,0.2543642222881317,0.26488150999792237,-2.746126047468372
34,Karnataka,5,5,1,16,0.1883513182401657,0.20024552994762143,-1.1409413361107772
35,Karnataka,5,5,1,32,0.21382446587085724,0.22723926391305158,-1.7570574470325542
36,Karnataka,5,7,1,1,0.13732638955116272,0.15601969673982896,-1.0451150617244336
37,Karnataka,5,7,1,8,0.23764851689338684,0.24236853047973841,-3.9352748209126647
38,Karnataka,5,7,1,16,0.0743626207113266,0.08706646854717252,0.3631153966973871
39,Karnataka,5,7,1,32,0.16710218787193298,0.1712287435600263,-1.463271080258949
40,Karnataka,6,5,1,1,0.08628961443901062,0.10987961965506499,0.35536577588457063
41,Karnataka,6,5,1,8,0.11163318157196045,0.1261096591320011,0.15086687967257062
42,Karnataka,6,5,1,16,0.19127731025218964,0.19640321401466498,-1.059568646320907
43,Karnataka,6,5,1,32,0.23399625718593597,0.24383621311187445,-2.1745010021106865
44,Karnataka,6,7,1,1,0.3103468120098114,0.31307049175959184,-7.234612747131191
45,Karnataka,6,7,1,8,0.16477462649345398,0.1730953103560066,-1.517268479976917
46,Karnataka,6,7,1,16,0.08861156553030014,0.1042229356382763,0.08738943790305165
47,Karnataka,6,7,1,32,0.1298859864473343,0.14296468171340046,-0.7171824347097349
48,Maharashtra,1,5,1,1,0.06537357717752457,0.08498782247728183,0.38827510785856056
49,Maharashtra,1,5,1,8,0.1012381836771965,0.10389188097072542,0.08587417669173003
50,Maharashtra,1,5,1,16,0.04413796588778496,0.044422758793534314,0.8328702527843574
51,Maharashtra,1,5,1,32,0.15006043016910553,0.15015787841239386,-0.9095848882784199
52,Maharashtra,1,7,1,1,0.04231017082929611,0.05397934389546909,0.6854622764827194
53,Maharashtra,1,7,1,8,0.03417124226689339,0.04366185108228718,0.7942111550637769
54,Maharashtra,1,7,1,16,0.026506813243031502,0.02913928663086123,0.9083409494890133
55,Maharashtra,1,7,1,32,0.014855788089334965,0.019353126612486032,0.9595685041729013
56,Maharashtra,2,5,1,1,0.4175110161304474,0.42299674275115867,-14.153634336135486
57,Maharashtra,2,5,1,8,0.07958701252937317,0.0817333842078735,0.43422767695335274
58,Maharashtra,2,5,1,16,0.03841513767838478,0.03944195828944512,0.8682472556625436
59,Maharashtra,2,5,1,32,0.050234176218509674,0.05264723164985628,0.7652563642612553
60,Maharashtra,2,7,1,1,0.03982227295637131,0.04627546722414786,0.7688365334298086
61,Maharashtra,2,7,1,8,0.0760611817240715,0.07632212004179222,0.37119149296981147
62,Maharashtra,2,7,1,16,0.02119220606982708,0.024932170284037658,0.9328976550754319
63,Maharashtra,2,7,1,32,0.039360448718070984,0.03956888514483457,0.8309850564376304
64,Maharashtra,3,5,1,1,0.6602640748023987,0.6670431673330623,-36.68344484046984
65,Maharashtra,3,5,1,8,0.026758985593914986,0.029494014700755983,0.9263266371663106
66,Maharashtra,3,5,1,16,0.06329238414764404,0.06937282212486066,0.5924119498004923
67,Maharashtra,3,5,1,32,0.009641238488256931,0.01085278690381751,0.9900247157622245
68,Maharashtra,3,7,1,1,0.06977872550487518,0.0721985499225091,0.43730315338325787
69,Maharashtra,3,7,1,8,0.02418822981417179,0.029520130853606948,0.9059293644063869
70,Maharashtra,3,7,1,16,0.01946244388818741,0.02391302975652559,0.9382713557220475
71,Maharashtra,3,7,1,32,0.03806672245264053,0.03855921507835151,0.8395004378656727
72,Maharashtra,4,5,1,1,0.1556435227394104,0.18235044326527,-1.8161541589258214
73,Maharashtra,4,5,1,8,0.09254030883312225,0.10374185295318201,0.08851250603472138
74,Maharashtra,4,5,1,16,0.1595107465982437,0.1633095436131527,-1.258737881174889
75,Maharashtra,4,5,1,32,0.12959246337413788,0.13170631535528968,-0.4691153593855846
76,Maharashtra,4,7,1,1,0.15728266537189484,0.18286223468632193,-2.6096539563920973
77,Maharashtra,4,7,1,8,0.09514708817005157,0.10300461125091888,-0.14533062678642295
78,Maharashtra,4,7,1,16,0.07411246001720428,0.07705254268687665,0.3590982200026728
79,Maharashtra,4,7,1,32,0.062431685626506805,0.06315469567388425,0.569444844551888
80,Maharashtra,5,5,1,1,0.16102978587150574,0.16390850014683025,-1.2753368325559942
81,Maharashtra,5,5,1,8,0.07284419983625412,0.07774623907309769,0.4880806970511691
82,Maharashtra,5,5,1,16,0.08049724251031876,0.08376706641589537,0.4057224163161157
83,Maharashtra,5,5,1,32,0.13226589560508728,0.13405716617572971,-0.522028455764862
84,Maharashtra,5,7,1,1,0.11889953166246414,0.1281444261524599,-0.7726255857960798
85,Maharashtra,5,7,1,8,0.1878947913646698,0.19423074606984647,-3.0724283982775376
86,Maharashtra,5,7,1,16,0.09992969781160355,0.10526047557802107,-0.1960468319564217
87,Maharashtra,5,7,1,32,0.06137141212821007,0.06496337289654965,0.5444304588668194
88,Maharashtra,6,5,1,1,0.4311991333961487,0.4454238819231392,-15.803112127294103
89,Maharashtra,6,5,1,8,0.09111550450325012,0.09968150089413401,0.1584656731764068
90,Maharashtra,6,5,1,16,0.11774682253599167,0.12262488088567977,-0.27350286658261225
91,Maharashtra,6,5,1,32,0.06724191457033157,0.07098217779252511,0.5732816303526372
92,Maharashtra,6,7,1,1,0.13250790536403656,0.14006390158442655,-1.1177270704294666
93,Maharashtra,6,7,1,8,0.09927474707365036,0.10073378261991378,-0.09538773364871145
94,Maharashtra,6,7,1,16,0.08076921105384827,0.08646871556380276,0.19288476594317328
95,Maharashtra,6,7,1,32,0.08742301166057587,0.08956008163961895,0.13414240966848223
96,Uttar-Pradesh,1,5,1,1,0.4315551817417145,0.44108634091193966,-12.170286280251226
97,Uttar-Pradesh,1,5,1,8,0.09446597099304199,0.10174604025635159,0.2992178055108985
98,Uttar-Pradesh,1,5,1,16,0.05227663740515709,0.05857737034100166,0.7677221847894109
99,Uttar-Pradesh,1,5,1,32,0.08750559389591217,0.09108228227692258,0.43841453902454275
100,Uttar-Pradesh,1,7,1,1,0.017101777717471123,0.02487087716006344,0.9460471196547566
101,Uttar-Pradesh,1,7,1,8,0.055197618901729584,0.06561034441970114,0.6245283960204462
102,Uttar-Pradesh,1,7,1,16,0.07678388059139252,0.08042807986416084,0.43578084422808816
103,Uttar-Pradesh,1,7,1,32,0.029353678226470947,0.03365000655238313,0.901235072447659
104,Uttar-Pradesh,2,5,1,1,0.6369297504425049,0.6483291167716205,-27.45372265727586
105,Uttar-Pradesh,2,5,1,8,0.042194101959466934,0.05337089708444595,0.8071778092572315
106,Uttar-Pradesh,2,5,1,16,0.11665011197328568,0.12457832350141537,-0.050589295343941076
107,Uttar-Pradesh,2,5,1,32,0.015009725466370583,0.018412971922360362,0.9770493068253748
108,Uttar-Pradesh,2,7,1,1,0.6540848612785339,0.6628654686510326,-37.32509196081579
109,Uttar-Pradesh,2,7,1,8,0.07716171443462372,0.09018727638060935,0.29054805959146146
110,Uttar-Pradesh,2,7,1,16,0.04339967668056488,0.050643566896971935,0.776292270777027
111,Uttar-Pradesh,2,7,1,32,0.04219263046979904,0.04715508241531999,0.8060501547494703
112,Uttar-Pradesh,3,5,1,1,0.22217079997062683,0.24440589226590573,-3.0436297338318283
113,Uttar-Pradesh,3,5,1,8,0.12007417529821396,0.13762950677491395,-0.28224541412894233
114,Uttar-Pradesh,3,5,1,16,0.06803373992443085,0.08073538774187754,0.5587589438137629
115,Uttar-Pradesh,3,5,1,32,0.08375559002161026,0.0892877582758864,0.4603255726527683
116,Uttar-Pradesh,3,7,1,1,0.25303247570991516,0.27478630638871526,-5.586013294529845
117,Uttar-Pradesh,3,7,1,8,0.07770659029483795,0.08479837782452253,0.37279785607520677
118,Uttar-Pradesh,3,7,1,16,0.06387858092784882,0.0702947289473564,0.5689993396489307
119,Uttar-Pradesh,3,7,1,32,0.06606178730726242,0.07057173280438525,0.5655958226722233
120,Uttar-Pradesh,4,5,1,1,0.1125243604183197,0.12732089399223823,-0.09735557654302163
121,Uttar-Pradesh,4,5,1,8,0.06223033741116524,0.07472151883837193,0.6220456464912159
122,Uttar-Pradesh,4,5,1,16,0.11478988081216812,0.12515061959925985,-0.06026406273292695
123,Uttar-Pradesh,4,5,1,32,0.04157167673110962,0.04390687320986431,0.8694992530229804
124,Uttar-Pradesh,4,7,1,1,0.21271851658821106,0.2391624727834005,-3.989057350308914
125,Uttar-Pradesh,4,7,1,8,0.07418759912252426,0.08298202843473707,0.39937896195963274
126,Uttar-Pradesh,4,7,1,16,0.16942521929740906,0.17325466910967868,-1.6181970022508851
127,Uttar-Pradesh,4,7,1,32,0.03475739806890488,0.0411668512841692,0.8521818616573769
128,Uttar-Pradesh,5,5,1,1,0.05556251481175423,0.0712278050645565,0.6565629627808469
129,Uttar-Pradesh,5,5,1,8,0.16887681186199188,0.18324649720337519,-1.2731042658024747
130,Uttar-Pradesh,5,5,1,16,0.15838107466697693,0.16126024813393022,-0.7603646469829137
131,Uttar-Pradesh,5,5,1,32,0.019115325063467026,0.024548167034130857,0.959206948578065
132,Uttar-Pradesh,5,7,1,1,0.2431439310312271,0.25769274271004194,-4.792110669541461
133,Uttar-Pradesh,5,7,1,8,0.13122740387916565,0.14279644724611412,-0.7785546000530348
134,Uttar-Pradesh,5,7,1,16,0.056056246161460876,0.06020097409172453,0.6838890999563505
135,Uttar-Pradesh,5,7,1,32,0.02642022632062435,0.027452492129177466,0.9342651054335511
136,Uttar-Pradesh,6,5,1,1,0.5405120253562927,0.5511461766968357,-19.562769821718614
137,Uttar-Pradesh,6,5,1,8,0.05985073745250702,0.062298931854493686,0.737270279319703
138,Uttar-Pradesh,6,5,1,16,0.06762424856424332,0.07071340365013681,0.6615055702605186
