,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date
27,Minnesota,US,2020-11-11 05:30:39,45.6945,-93.9002,189681,2752,153347.0,33582.0,27.0,3363.357751002193,3135996.0,,1.4508569651151144,84000027.0,USA,55606.394176073896,,2020-11-10
28,Mississippi,US,2020-11-11 05:30:39,32.7416,-89.6787,128138,3480,111430.0,13228.0,28.0,4305.496801403426,1002001.0,,2.7158220044015047,84000028.0,USA,33667.702793106124,,2020-11-10
29,Missouri,US,2020-11-11 05:30:39,38.4561,-92.2884,230139,3323,,217413.0,29.0,3596.294734537008,2645421.0,,1.4982783617252629,84000029.0,USA,43103.08813398707,,2020-11-10
30,Montana,US,2020-11-11 05:30:39,46.9219,-110.4544,41151,462,23873.0,16816.0,30.0,3850.2850919461293,544566.0,,1.1226944667201284,84000030.0,USA,50952.208971367305,,2020-11-10
31,Nebraska,US,2020-11-11 05:30:39,41.1254,-98.2681,87733,730,49314.0,37689.0,31.0,4535.392740311248,1049078.0,,0.8320700306612108,84000031.0,USA,54232.509377546,,2020-11-10
32,Nevada,US,2020-11-11 05:30:39,38.3135,-117.0554,112304,1859,2560.0,107885.0,32.0,3646.049096214607,1352746.0,,1.6553283943581707,84000032.0,USA,43918.10025206515,,2020-11-10
33,New Hampshire,US,2020-11-11 05:30:39,43.4525,-71.5639,12882,489,10233.0,2197.0,33.0,950.1283728674696,673987.0,,3.7851226875145136,84000033.0,USA,49568.400932256925,,2020-11-10
34,New Jersey,US,2020-11-11 05:30:39,40.2989,-74.521,278419,16461,38407.0,205562.0,34.0,2932.0471640440032,5041064.0,,6.320700380140536,84000034.0,USA,56754.74179228321,,2020-11-10
35,New Mexico,US,2020-11-11 05:30:39,34.8405,-106.2485,57547,1144,23457.0,32946.0,35.0,2744.477494349801,1269523.0,,1.987940292282829,84000035.0,USA,60544.898987947985,,2020-11-10
36,New York,US,2020-11-11 05:30:39,42.1657,-74.9481,541200,33939,80854.0,421352.0,36.0,2735.6431041082915,15904266.0,,6.333383441692661,84000036.0,USA,81755.03703409365,,2020-11-10
37,North Carolina,US,2020-11-11 05:30:39,35.6301,-79.8064,297442,4660,261719.0,31063.0,37.0,2835.9994065646306,4429912.0,,1.566691993733232,84000037.0,USA,42237.571705184666,,2020-11-10
38,North Dakota,US,2020-11-11 05:30:39,47.5289,-99.78399999999999,56352,674,43949.0,11729.0,38.0,7394.673924168899,907372.0,,1.196053378762067,84000038.0,USA,119068.00234101688,,2020-11-10
39,Northern Mariana Islands,US,2020-11-11 05:30:39,15.0979,145.6739,100,2,29.0,69.0,69.0,181.3433918468011,16567.0,,2.0,580.0,MNP,30043.15972725953,,2020-11-10
40,Ohio,US,2020-11-11 05:30:39,40.3888,-82.7649,261482,5891,189079.0,66856.0,39.0,2236.972906382869,4964229.0,,2.1213697309948683,84000039.0,USA,42468.872710473865,,2020-11-10
41,Oklahoma,US,2020-11-11 05:30:39,35.5653,-96.9289,140157,1451,118074.0,20632.0,40.0,3542.0274750560466,1733198.0,,1.035267592770964,84000040.0,USA,43801.12970249214,,2020-11-10
42,Oregon,US,2020-11-11 05:30:39,44.571999999999996,-122.0709,51909,737,5870.0,45302.0,41.0,1230.7310768784305,921216.0,,1.419792328883238,84000041.0,USA,21841.47565388738,,2020-11-10
43,Pennsylvania,US,2020-11-11 05:30:39,40.5908,-77.2098,244046,9079,171833.0,63134.0,42.0,1906.3131518078949,4567727.0,,3.7202002901092417,84000042.0,USA,21164.226902553968,,2020-11-10
44,Puerto Rico,US,2020-11-11 05:30:39,18.2208,-66.5901,38856,889,33368.0,4599.0,72.0,1324.6026464780894,344828.0,,2.2879349392629202,630.0,PRI,11755.200776707505,,2020-11-10
45,Rhode Island,US,2020-11-11 05:30:39,41.6809,-71.5118,38798,1257,2989.0,34572.0,44.0,3662.396482407791,1267275.0,,3.1883086757049326,84000044.0,USA,119626.35966398615,,2020-11-10
46,South Carolina,US,2020-11-11 05:30:39,33.8569,-80.945,187738,4062,97765.0,85911.0,45.0,3646.308573364145,1988512.0,,2.163653602360737,84000045.0,USA,38621.52762806402,,2020-11-10
47,South Dakota,US,2020-11-11 05:30:39,44.2998,-99.4388,57334,540,40199.0,16595.0,46.0,6480.915245309209,280699.0,,0.9418495133777516,84000046.0,USA,31729.62689578696,,2020-11-10
48,Tennessee,US,2020-11-11 05:30:39,35.7478,-86.6923,289749,3672,256143.0,29934.0,47.0,4242.811795394289,3943804.0,,1.2673037698145635,84000047.0,USA,57749.355925035736,,2020-11-10
49,Texas,US,2020-11-11 05:30:39,31.0545,-97.5635,1058874,19710,826116.0,164911.0,48.0,3484.5087134962378,8901839.0,,1.9138647061850973,84000048.0,USA,30700.35706105981,,2020-11-10
50,Utah,US,2020-11-11 05:30:39,40.15,-111.8624,137385,672,95975.0,40738.0,49.0,4285.302552310417,1522009.0,,0.4891363685991921,84000049.0,USA,47474.389870360115,,2020-11-10
51,Vermont,US,2020-11-11 05:30:39,44.0459,-72.7107,2462,59,1936.0,467.0,50.0,394.55823740482606,447581.0,,2.39642567018684,84000050.0,USA,71728.98881230278,,2020-11-10
52,Virgin Islands,US,2020-11-11 05:30:39,18.3358,-64.8963,1413,23,1357.0,33.0,78.0,1317.2614386396688,25487.0,,1.6277423920736025,850.0,VIR,23760.114852518927,,2020-11-10
53,Virginia,US,2020-11-11 05:30:39,37.7693,-78.17,194912,3726,21716.0,169470.0,51.0,2283.5401104490547,2820659.0,,1.9116319159415531,84000051.0,USA,33046.13345714537,,2020-11-10
54,Washington,US,2020-11-11 05:30:39,47.4009,-121.4905,124549,2446,,117529.0,53.0,1576.003760000305,2627515.0,,2.0681437534892635,84000053.0,USA,34504.94970842006,,2020-11-10
55,West Virginia,US,2020-11-11 05:30:39,38.4912,-80.9545,29316,546,21499.0,7271.0,54.0,1635.8033130094798,864043.0,,1.8624641833810889,84000054.0,USA,48212.7303173233,,2020-11-10
56,Wisconsin,US,2020-11-11 05:30:39,44.2685,-89.6165,293812,2395,214469.0,76948.0,55.0,5046.205762057586,3644867.0,,0.8151471008672212,84000055.0,USA,62600.40045108282,,2020-11-10
57,Wyoming,US,2020-11-11 05:30:39,42.756,-107.3025,19242,127,11098.0,8017.0,56.0,3324.699918273409,146390.0,,0.6600145515019229,84000056.0,USA,25293.775129198853,,2020-11-10
0,Alabama,US,2020-11-12 05:30:39,32.3182,-86.9023,208637,3201,84471.0,120965.0,1.0,4255.132123303526,1421590.0,,1.5342436864026994,84000001.0,USA,28993.195239420907,,2020-11-11
1,Alaska,US,2020-11-12 05:30:39,61.3707,-152.4044,21338,98,7160.0,14075.0,2.0,2915.883506824597,834590.0,,0.4500492241338897,84000002.0,USA,114085.94139800011,,2020-11-11
2,American Samoa,US,2020-11-12 05:30:39,-14.270999999999999,-170.132,0,0,,0.0,60.0,0.0,1768.0,,,16.0,ASM,3177.5129850290255,,2020-11-11
3,Arizona,US,2020-11-12 05:30:39,33.7298,-111.4312,265163,6228,43990.0,214945.0,4.0,3642.9909282089134,3133703.0,,2.3487439801178898,84000004.0,USA,26217.65621606116,,2020-11-11
4,Arkansas,US,2020-11-12 05:30:39,34.9697,-92.3731,126197,2126,110365.0,13706.0,5.0,4181.74937802455,1456994.0,,1.6846676228436492,84000005.0,USA,48279.94130831559,,2020-11-11
5,California,US,2020-11-12 05:30:39,36.1162,-119.6816,1001880,18197,,977467.0,6.0,2519.6633456943187,20222093.0,,1.8188484041885344,84000006.0,USA,51179.33506297533,,2020-11-11
6,Colorado,US,2020-11-12 05:30:39,39.0598,-105.3111,142402,2443,8846.0,131113.0,8.0,2472.799586575943,2306782.0,,1.7155657926152723,84000008.0,USA,40057.08891673451,,2020-11-11
7,Connecticut,US,2020-11-12 05:30:39,41.5978,-72.7554,84741,4716,9800.0,70225.0,9.0,2376.8353010571104,2639205.0,,5.56519276383333,84000009.0,USA,74025.03641361832,,2020-11-11
