,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio
2427,Nebraska,US,2020-05-24 02:32:48,41.1254,-98.2681,11963,147,,11816.0,31.0,618.4320991228324,79982.0,,1.2287887653598597,84000031.0,USA,4134.701676171728,,2020-05-23,,
2428,Nevada,US,2020-05-24 02:32:48,38.3135,-117.0554,7526,387,359.0,6780.0,32.0,244.33827377574383,107047.0,,5.142173797501993,84000032.0,USA,3475.3759225182102,,2020-05-23,,
2429,New Hampshire,US,2020-05-24 02:32:48,43.4525,-71.5639,4089,208,2197.0,1684.0,33.0,300.7256689105258,59539.0,419.0,5.086818292981169,84000033.0,USA,4378.798141663927,10.24700415749572,2020-05-23,,
2430,New Jersey,US,2020-05-24 02:32:48,40.2989,-74.521,153383,11082,24762.0,117296.0,34.0,1724.1243432081505,578735.0,,7.236515606634453,84000034.0,USA,6515.679128683354,,2020-05-23,,
2431,New Mexico,US,2020-05-24 02:32:48,34.8405,-106.2485,6625,302,2149.0,4174.0,35.0,315.95327992888315,158383.0,1139.0,4.558490566037737,84000035.0,USA,7553.453333581327,17.192452830188678,2020-05-23,,
2432,New York,US,2020-05-24 02:32:48,42.1657,-74.9481,359926,29031,63292.0,267603.0,36.0,1850.1805402106072,1652061.0,77034.0,8.065824641731911,84000036.0,USA,8492.332072261732,21.40273278396115,2020-05-23,,
2433,North Carolina,US,2020-05-24 02:32:48,35.6301,-79.8064,22864,778,11637.0,10449.0,37.0,217.9997795593552,329582.0,,3.4027291812456264,84000037.0,USA,3142.44241369539,,2020-05-23,,
2434,North Dakota,US,2020-05-24 02:32:48,47.5289,-99.784,2365,52,1451.0,862.0,38.0,310.3422031278295,64148.0,150.0,2.1987315010570825,84000038.0,USA,8417.687799680341,6.342494714587738,2020-05-23,,
2435,Northern Mariana Islands,US,2020-05-24 02:32:48,15.0979,145.6739,22,2,13.0,7.0,69.0,39.895546206296245,4318.0,,9.090909090909092,580.0,MNP,7830.407659944872,,2020-05-23,,
2436,Ohio,US,2020-05-24 02:32:48,40.3888,-82.7649,31408,1925,,29452.0,39.0,268.69476691960887,316494.0,5437.0,6.2277126846663275,84000039.0,USA,2707.5993874635337,17.310876209882828,2020-05-23,,
2437,Oklahoma,US,2020-05-24 02:32:48,35.5653,-96.9289,5960,311,4645.0,1004.0,40.0,150.6202597896219,160903.0,926.0,5.218120805369128,84000040.0,USA,4066.317392773412,15.536912751677852,2020-05-23,,
2438,Oregon,US,2020-05-24 02:32:48,44.572,-122.0709,3888,147,1376.0,2365.0,41.0,92.18213463760306,110207.0,740.0,3.780864197530864,84000041.0,USA,2612.9414897135603,19.032921810699587,2020-05-23,,
2439,Pennsylvania,US,2020-05-24 02:32:48,40.5908,-77.2098,71009,5112,39519.0,26378.0,42.0,554.6716217300296,437273.0,,7.19908743962033,84000042.0,USA,3034.3097467120147,,2020-05-23,,
